,PV,nonCriticalLoad,criticalLoad
05/21/2015 0000,-0.1,4080.118,1200.4470000000001
05/21/2015 0015,-0.1,3898.774,1155.906
05/21/2015 0030,-0.1,3785.173,1118.114
05/21/2015 0045,-0.1,3654.4690000000005,1078.036
05/21/2015 0100,-0.1,3551.087,1040.644
05/21/2015 0115,-0.1,3434.0200000000004,1022.614
05/21/2015 0130,-0.1,3349.6009999999997,989.9649999999999
05/21/2015 0145,-0.1,3281.636,969.825
05/21/2015 0200,-0.1,3207.499,957.0520000000001
05/21/2015 0215,-0.1,3140.4419999999996,942.9449999999999
05/21/2015 0230,-0.1,3098.1510000000003,937.0840000000001
05/21/2015 0245,-0.1,3086.397,920.96
05/21/2015 0300,-0.1,3054.143,913.982
05/21/2015 0315,-0.1,3030.906,907.3030000000001
05/21/2015 0330,-0.1,3003.673,896.413
05/21/2015 0345,-0.1,2980.095,890.059
05/21/2015 0400,-0.1,2980.8109999999997,892.081
05/21/2015 0415,-0.1,2996.323,894.0550000000001
05/21/2015 0430,-0.1,3022.0280000000002,895.6610000000001
05/21/2015 0445,-0.1,3052.3399999999997,904.58
05/21/2015 0500,-0.1,3124.3230000000003,925.5
05/21/2015 0515,-0.1,3213.1349999999998,941.614
05/21/2015 0530,-0.1,3321.4980000000005,967.778
05/21/2015 0545,-0.1,3427.1130000000003,984.498
05/21/2015 0600,-0.1,3592.9489999999996,1045.141
05/21/2015 0615,-0.1,3773.571,1094.872
05/21/2015 0630,11.549066467874727,3920.5139999999997,1142.0720000000001
05/21/2015 0645,24.578821803538194,4016.6739999999995,1182.135
05/21/2015 0700,36.23983238472745,4077.229,1209.286
05/21/2015 0715,59.64399074350589,4079.536,1228.0
05/21/2015 0730,97.3729257177476,3994.105,1207.186
05/21/2015 0745,148.19675381100282,3902.6009999999997,1196.768
05/21/2015 0800,208.840399549577,3898.641,1221.239
05/21/2015 0815,275.53146378971695,3882.9400000000005,1241.1779999999999
05/21/2015 0830,344.885013184933,3905.5789999999997,1255.631
05/21/2015 0845,414.2668251658409,3895.271,1269.955
05/21/2015 0900,481.84637458704475,3924.464,1301.4940000000001
